EB_T (K),EB_((m0-m)/(m0-mf))
366.5805333,0.083101146
366.7559333,0.083177956
366.9278,0.083253143
367.0893,0.083328871
367.2558333,0.083400271
367.4237,0.083471131
367.5984667,0.083542532
367.7706,0.083613392
367.9358,0.083679924
368.0992333,0.083748079
368.2666,0.083817316
368.4406333,0.083885471
368.6130333,0.08394984
368.781,0.084013668
368.9509667,0.084076955
369.1221333,0.084140242
369.2858,0.084201365
369.4479,0.084261947
369.6165667,0.08432253
369.7911333,0.084383653
369.9574333,0.084445317
370.1317,0.084507522
370.3,0.084570268
370.4678,0.084634096
370.6391333,0.08469576
370.8072333,0.084755261
370.9730333,0.084812598
371.1399333,0.084869935
371.3007333,0.084922403
371.4776667,0.084974331
371.6527333,0.085026259
371.8163667,0.085077105
371.9881,0.08512795
372.1532667,0.085178796
372.3233667,0.085227479
372.4908667,0.085277784
372.6594667,0.085328089
372.8297333,0.08537623
372.9997,0.085427076
373.1652333,0.085479545
373.3343667,0.085528768
373.5043333,0.085580155
373.6713333,0.08563046
373.834,0.08567806
374.0093333,0.085723497
374.176,0.085768933
374.338,0.085816534
374.5153333,0.085860348
374.688,0.085901457
374.8523333,0.085942567
375.0123333,0.085984217
375.1886667,0.086024786
375.3596667,0.086065895
375.521,0.086108627
375.689,0.086152441
375.858,0.08619301
376.0306667,0.086232497
376.1926667,0.086276311
376.366,0.086317961
376.5296667,0.08635853
376.7046667,0.086398557
376.8683333,0.086434799
377.0366667,0.086473203
377.2073333,0.086511067
377.381,0.086548931
377.5433333,0.086586795
377.71,0.086624659
377.8803333,0.086659819
378.0483333,0.086693355
378.2213333,0.086726351
378.3886667,0.086762051
378.5536667,0.086797752
378.722,0.086830747
378.8823333,0.086863743
379.0543333,0.086898362
379.226,0.086934062
379.3936667,0.086970303
379.559,0.087001676
379.7236667,0.087032508
379.8903333,0.087062259
380.0633333,0.087091468
380.231,0.087117973
380.3946667,0.087146641
380.5673333,0.087176391
380.7383333,0.087206683
380.9026667,0.087235351
381.0733333,0.087261315
381.237,0.087287279
381.412,0.087314865
381.5776667,0.087340288
381.7453333,0.087366793
381.9106667,0.087393298
382.083,0.087417639
382.2476667,0.087450094
382.4143333,0.087481467
382.583,0.08751284
382.7456667,0.087543131
382.913,0.087570718
383.088,0.087594518
383.258,0.087616155
383.4243333,0.087638873
383.597,0.087657805
383.7646667,0.087682687
383.9313333,0.087707028
384.0923333,0.087730828
384.2653333,0.087760038
384.4283333,0.087791411
384.5973333,0.087820079
384.7693333,0.087846043
384.934,0.087869302
385.1033333,0.08788553
385.2673333,0.087901216
385.439,0.087917984
385.6076667,0.087932589
385.7776667,0.087948817
385.9403333,0.087969371
386.108,0.087990467
386.2793333,0.088012103
386.4463333,0.088036445
386.6143333,0.08805754
386.7786667,0.088077554
386.953,0.088099191
387.117,0.088123532
387.286,0.088148955
387.4513333,0.088172755
387.621,0.088194391
387.79,0.088221437
387.954,0.088242533
388.1156667,0.088262006
388.2833333,0.08828256
388.4533333,0.088299329
388.6226667,0.088318261
388.7896667,0.088336652
388.9573333,0.08835342
389.1303333,0.088370189
389.2956667,0.08838317
389.4536667,0.088396693
389.6216667,0.088412921
389.7923333,0.08843023
389.9646667,0.088450244
390.1303333,0.088470258
390.3036667,0.08848973
390.4726667,0.088516776
390.6383333,0.088537872
390.7993333,0.088558427
390.9663333,0.088580063
391.1436667,0.088592504
391.3046667,0.088608191
391.4733333,0.088624418
391.642,0.088640645
391.8086667,0.088656873
391.9826667,0.088674723
392.142,0.088692573
392.3113333,0.088710423
392.478,0.088728814
392.6513333,0.088746124
392.8153333,0.088766137
392.9793333,0.088786692
393.1446667,0.088801838
393.316,0.08881482
393.4823333,0.08882672
393.652,0.088838079
393.817,0.08884457
393.9863333,0.088855388
394.154,0.088867829
394.319,0.088885679
394.488,0.088912184
394.6516667,0.088937607
394.8266667,0.088960867
394.994,0.088982503
395.1643333,0.089007926
395.3323333,0.089023072
395.498,0.089032808
395.6596667,0.089040922
395.8246667,0.089036594
395.993,0.089041463
396.1646667,0.089049035
396.329,0.089059854
396.496,0.089073918
396.6633333,0.089089063
396.8333333,0.08910475
397.004,0.089122059
397.173,0.089140991
397.3363333,0.089157218
397.508,0.089171282
397.6746667,0.089183182
397.848,0.089191837
398.01,0.089197246
398.1806667,0.089205901
398.357,0.08921726
398.5216667,0.089227537
398.686,0.089243764
398.8503333,0.089258369
399.019,0.089271892
399.187,0.089287579
399.3516667,0.08930002
399.5196667,0.08931192
399.688,0.089324361
399.853,0.089338424
400.0186667,0.089353029
400.1916667,0.089371961
400.35,0.089391434
400.525,0.089409284
400.6973333,0.089434166
400.8603333,0.08945418
401.0226667,0.089472571
401.1983333,0.08948988
401.3633333,0.089499617
401.5276667,0.08951314
401.6926667,0.089529908
401.8666667,0.089547758
402.0313333,0.089566149
402.208,0.089582918
402.375,0.089598604
402.5413333,0.08961375
402.7043333,0.089632141
402.8756667,0.08964945
403.0396667,0.089666218
403.2043333,0.089684068
403.3733333,0.089699755
403.546,0.089713819
403.7123333,0.089728423
403.88,0.089744651
404.042,0.089760878
404.2143333,0.089779269
404.389,0.089793874
404.5503333,0.089805774
404.7133333,0.089816592
404.879,0.089827411
405.0503333,0.089839852
405.219,0.089853915
405.3946667,0.089861488
405.55,0.089873388
405.7206667,0.089885829
405.8883333,0.089899352
406.06,0.089917743
406.2293333,0.089931807
406.391,0.089944789
406.5633333,0.089958853
406.7266667,0.089967507
406.9006667,0.089975621
407.063,0.089984276
407.2313333,0.08999293
407.402,0.08999888
407.573,0.090008076
407.7393333,0.090018894
407.9083333,0.090029712
408.0763333,0.090047022
408.242,0.090062708
408.4093333,0.090077313
408.58,0.090090836
408.7453333,0.090104359
408.915,0.090116259
409.0856667,0.090128159
409.25,0.090142763
409.4166667,0.090156286
409.588,0.090171973
409.755,0.090186037
409.927,0.0902001
410.0956667,0.09021795
410.267,0.090232014
410.4356667,0.09024716
410.6016667,0.090262846
410.767,0.090274746
410.936,0.090286106
411.095,0.090294219
411.264,0.090301792
411.4376667,0.090304497
411.6093333,0.090305038
411.7773333,0.090307201
411.9476667,0.090309906
412.1146667,0.090317479
412.2746667,0.090327756
412.4476667,0.090340738
412.6146667,0.090357506
412.7783333,0.090375356
412.9506667,0.090397534
413.122,0.090413761
413.2846667,0.090427825
413.4486667,0.090435398
413.6193333,0.090441889
413.7926667,0.090449462
413.9656667,0.090456493
414.1336667,0.090468394
414.2973333,0.090474344
414.4626667,0.090480294
414.6376667,0.090484621
414.8056667,0.090491653
414.9676667,0.090507339
415.135,0.090524108
415.3006667,0.090540876
415.4706667,0.090557644
415.641,0.090581445
415.8076667,0.090597131
415.9696667,0.090610113
416.1396667,0.090622013
416.3063333,0.090627422
416.4793333,0.090637159
416.646,0.0906496
416.8156667,0.090662582
416.9816667,0.090678809
417.156,0.090692332
417.322,0.090705855
417.486,0.090721541
417.6593333,0.090735064
417.8273333,0.090748046
417.995,0.090759405
418.162,0.090769683
418.3333333,0.090778337
418.5006667,0.090788074
418.667,0.090800515
418.841,0.090814038
419.0016667,0.09083297
419.167,0.090850279
419.343,0.090864343
419.5086667,0.090876784
419.678,0.090891388
419.8393333,0.090903288
420.0126667,0.090915188
420.1816667,0.090926007
420.3543333,0.090930334
420.5156667,0.09093953
420.6896667,0.090953593
420.8546667,0.090968198
421.021,0.090984966
421.1933333,0.091000112
421.359,0.091013094
421.5283333,0.091024994
421.6976667,0.09103419
421.8653333,0.091044467
422.0366667,0.091055285
422.2096667,0.091065563
422.3793333,0.091070431
422.5416667,0.091080708
422.7066667,0.091094231
