EM_T (K),EM_((m0-m)/(m0-mf))
373.7613333,0.060640696
373.933,0.060692601
374.0943333,0.06074076
374.273,0.060788384
374.4303333,0.060830121
374.587,0.060871324
374.754,0.060911992
374.921,0.060952659
375.0916667,0.060990116
375.2643333,0.061030784
375.426,0.061071986
375.5866667,0.061112654
375.7543333,0.061150111
375.9263333,0.061185963
376.093,0.06122449
376.249,0.061264622
376.4113333,0.061299404
376.5813333,0.061339001
376.7486667,0.061379134
376.9176667,0.061418731
377.0776667,0.061459399
377.246,0.061497391
377.4096667,0.061535383
377.5836667,0.061574445
377.7543333,0.061607621
377.9236667,0.061643473
378.0773333,0.061680395
378.2416667,0.061717317
378.418,0.061751028
378.584,0.061785274
378.749,0.06181845
378.9206667,0.061850556
379.081,0.061878917
379.2453333,0.061910487
379.411,0.061940453
379.579,0.061968278
379.741,0.061993428
379.9103333,0.062016437
380.076,0.062042122
380.2396667,0.062070482
380.4066667,0.062099913
380.5693333,0.062132554
380.7336667,0.062164125
380.905,0.06219516
381.0616667,0.062225661
381.2346667,0.062260443
381.3993333,0.062290943
381.5696667,0.062320909
381.7396667,0.06235569
381.8926667,0.062386726
382.0686667,0.062420972
382.2353333,0.062453614
382.4053333,0.062480904
382.563,0.062502843
382.73,0.062522106
382.8963333,0.062540835
383.064,0.062560098
383.2296667,0.062565449
383.389,0.062583108
383.5616667,0.062604512
383.732,0.062625381
383.8946667,0.062656951
384.0583333,0.062681566
384.23,0.06270404
384.39,0.062726514
384.5536667,0.062750594
384.7206667,0.062774673
384.8863333,0.062796077
385.0563333,0.062816411
385.2243333,0.06283942
385.3896667,0.06286243
385.5476667,0.062885974
385.7183333,0.062907378
385.883,0.062927177
386.0466667,0.06294537
386.2143333,0.062964634
386.3806667,0.062982827
386.5426667,0.06299995
386.7153333,0.063020284
386.8813333,0.063041153
387.0476667,0.063062022
387.208,0.063082356
387.3753333,0.063097338
387.54,0.063110181
387.7006667,0.063122488
387.875,0.06313105
388.0426667,0.063146032
388.1986667,0.063164226
388.365,0.063183489
388.532,0.063210244
388.697,0.063231113
388.8583333,0.063249842
389.033,0.063266965
389.1993333,0.063276597
389.3586667,0.063283553
389.5243333,0.063289974
389.6806667,0.063297466
389.8536667,0.063301211
390.024,0.063313519
390.1816667,0.063330642
390.343,0.063347765
390.5136667,0.063372915
390.6886667,0.063389503
390.8583333,0.063408231
391.0243333,0.063429635
391.1933333,0.063441942
391.3576667,0.06345425
391.519,0.063467627
391.6753333,0.063482075
391.845,0.063494917
392.0066667,0.063512041
392.1736667,0.063529164
392.3423333,0.063544147
392.5126667,0.063556454
392.67,0.063567156
392.8363333,0.063575182
392.9996667,0.063583744
393.172,0.06358856
393.3426667,0.063595516
393.5093333,0.063602472
393.674,0.063613174
393.8396667,0.063628692
394.0046667,0.063639929
394.1603333,0.063651702
394.3286667,0.063665079
394.493,0.063674711
394.657,0.063687553
394.83,0.063696115
395.003,0.06369986
395.1646667,0.063702536
395.3343333,0.063704141
395.4963333,0.063714308
395.6576667,0.063727686
395.8183333,0.063745344
395.991,0.063765143
396.1686667,0.063781731
396.323,0.063797249
396.493,0.063811696
396.656,0.063826679
396.8156667,0.063840057
396.9893333,0.063850759
397.1566667,0.063854504
397.3223333,0.063857715
397.4943333,0.06386039
397.6436667,0.063864136
397.8196667,0.063868952
397.9813333,0.063870022
398.1436667,0.063873768
398.3106667,0.063879654
398.474,0.063887145
398.6456667,0.063904269
398.805,0.063920322
398.9673333,0.063933699
399.143,0.063946006
399.307,0.063957243
399.47,0.063963129
399.6323333,0.06396848
399.8056667,0.063977042
399.967,0.063974902
400.134,0.063981323
400.296,0.063990955
400.4633333,0.064000586
400.6336667,0.06401771
400.8036667,0.064028947
400.9616667,0.064038579
401.127,0.064046605
401.2836667,0.064050351
401.4566667,0.064054632
401.6296667,0.064058912
401.7936667,0.064061588
401.9573333,0.064061053
402.1193333,0.064061588
402.2826667,0.064062658
402.4493333,0.064064263
402.6233333,0.064070685
402.788,0.064079246
402.9473333,0.064087273
403.1196667,0.064094764
403.284,0.064107071
403.447,0.064118308
403.618,0.064132756
403.7896667,0.064147204
403.9513333,0.064159511
404.1153333,0.064171818
404.28,0.06418252
404.437,0.064191082
404.6073333,0.064194293
404.7756667,0.064195898
404.9463333,0.064199108
405.1096667,0.064202854
405.2763333,0.064207135
405.4333333,0.064213021
405.6013333,0.064219977
405.776,0.064228539
405.9446667,0.064247802
406.104,0.06426225
406.27,0.064274557
406.4403333,0.064286865
406.6023333,0.064296497
406.7843333,0.064304523
406.9436667,0.064311479
407.1133333,0.064314155
407.274,0.06431362
407.4336667,0.064307734
407.6066667,0.064307199
407.772,0.064308804
407.9353333,0.06431469
408.102,0.064321646
408.2646667,0.064329673
408.4366667,0.064338769
408.606,0.064352682
408.767,0.064368735
408.93,0.064385323
409.1016667,0.064402446
409.2576667,0.064416359
409.4253333,0.064436693
409.5906667,0.06445114
409.765,0.064463448
409.9333333,0.06447415
410.0966667,0.06447736
410.271,0.064482176
410.433,0.064486457
410.6003333,0.064489667
410.768,0.064489132
410.93,0.064489667
411.098,0.064491273
411.2653333,0.064492343
411.435,0.064499834
411.599,0.064509466
411.7603333,0.064520703
411.92,0.064531405
412.0926667,0.064546923
412.261,0.064555485
412.4266667,0.064559766
412.5873333,0.064562441
412.7493333,0.06455602
412.92,0.06455602
413.087,0.064558695
413.2523333,0.064563511
413.4156667,0.064573143
413.579,0.064585985
413.74,0.064600433
413.9163333,0.064615951
414.0876667,0.064638425
414.2553333,0.064655013
414.4176667,0.064666785
414.5843333,0.064677487
414.7513333,0.064673742
414.9276667,0.064672136
415.0893333,0.064672672
415.2536667,0.064674812
415.4153333,0.064674812
415.582,0.064682303
415.7516667,0.0646914
415.92,0.064701567
416.088,0.064722436
416.2533333,0.064735813
416.422,0.064748656
416.583,0.064762033
416.7496667,0.064768454
416.919,0.064773805
417.0856667,0.064778086
417.2533333,0.064781832
417.422,0.064787183
417.5853333,0.064796815
417.752,0.064804841
417.918,0.064811797
418.088,0.064819824
418.2503333,0.064827315
418.414,0.064837482
418.5876667,0.064848184
418.7523333,0.064853535
418.9116667,0.064856211
419.0846667,0.064861562
419.2466667,0.064869588
419.414,0.06487708
419.584,0.064884036
419.7483333,0.064893668
419.9156667,0.06490437
420.081,0.064915072
420.248,0.064927914
420.4143333,0.064936476
420.583,0.064942362
420.7463333,0.064946107
420.9166667,0.064946643
421.0843333,0.064949853
421.2523333,0.064956274
421.418,0.064963231
421.579,0.064972327
421.7506667,0.064983564
421.913,0.064997477
422.079,0.065015135
422.25,0.065033864
422.4193333,0.065047776
422.581,0.065057943
422.746,0.065067575
422.913,0.065072926
423.0803333,0.065083628
423.2433333,0.065094865
423.418,0.065104497
423.58,0.065109848
423.748,0.065112523
423.9113333,0.065116804
424.075,0.06512269
424.2473333,0.065123761
424.4186667,0.065126436
424.5816667,0.065129112
424.7476667,0.065131252
424.9206667,0.065134998
425.0856667,0.065138743
425.2476667,0.065144094
425.4133333,0.065149445
425.5833333,0.065153726
425.75,0.065159077
425.9173333,0.065164428
426.081,0.065171384
426.2496667,0.065184762
426.4143333,0.065198674
426.5813333,0.065213657
426.7516667,0.065227035
426.9153333,0.065242553
427.0826667,0.065254325
427.2493333,0.065264492
427.418,0.065274123
427.584,0.065274123
427.7526667,0.065277869
427.9153333,0.06528429
428.09,0.065291782
428.2516667,0.065299808
428.413,0.065306229
428.5823333,0.065314256
428.7483333,0.065323888
428.9153333,0.065337265
429.084,0.065351178
429.2526667,0.065365626
429.422,0.065380608
429.5913333,0.065398267
429.754,0.065410039
429.9136667,0.065418065
430.088,0.065424486
430.2476667,0.065426627
430.414,0.065433048
430.5906667,0.06544375
430.7553333,0.065456592
430.9263333,0.06546997
431.094,0.065479602
431.2623333,0.065486558
431.4306667,0.065493514
431.5933333,0.065499936
431.7586667,0.065507427
431.9276667,0.065516524
432.102,0.065526155
432.2686667,0.065539533
432.429,0.065560402
432.5896667,0.065578595
432.7663333,0.065595183
432.9316667,0.065617122
433.092,0.065629965
433.255,0.065640132
433.4273333,0.065650299
433.5926667,0.065651904
433.7596667,0.065655114
433.9306667,0.065658325
434.099,0.065661536
434.2663333,0.065665816
434.4323333,0.065672773
434.5973333,0.065680799
434.769,0.065688291
434.9323333,0.065697387
435.1,0.065716116
435.267,0.065734844
435.4336667,0.065751967
435.6016667,0.065771231
435.769,0.065785679
435.9383333,0.065796916
436.105,0.065809223
436.2666667,0.065822065
436.433,0.065829557
436.602,0.065839724
436.768,0.065849356
436.936,0.065858452
437.1066667,0.06587076
437.2726667,0.065882532
437.4376667,0.065894304
437.6046667,0.065905006
437.7733333,0.065915708
437.9406667,0.06592534
438.1083333,0.065935507
438.2713333,0.065944603
438.4363333,0.0659537
438.6053333,0.065965472
438.7756667,0.065976709
438.947,0.065988481
439.1116667,0.066000254
439.2783333,0.066009885
439.4486667,0.066018982
439.6113333,0.066028614
439.7873333,0.06603664
439.9496667,0.066045737
440.121,0.066056974
440.2876667,0.066068746
440.4506667,0.066089615
440.623,0.066107274
440.786,0.066122791
440.953,0.066137774
441.1216667,0.066156503
441.2866667,0.066169345
441.4513333,0.066182723
441.6213333,0.06619503
441.792,0.066202521
441.9633333,0.066211618
442.1243333,0.066220715
442.2936667,0.066230882
442.4586667,0.066244259
442.6253333,0.066256031
442.7916667,0.066267268
442.9606667,0.0662769
443.1256667,0.066288137
443.2906667,0.066301515
443.4546667,0.066318103
443.6236667,0.066334691
443.7973333,0.066348603
443.9653333,0.066359841
444.1313333,0.066373218
444.2976667,0.066388201
444.4663333,0.066404254
444.6326667,0.066421377
444.8023333,0.06643636
444.9713333,0.066449737
445.1396667,0.06646472
445.3063333,0.066477562
445.474,0.066490405
445.6393333,0.066505388
445.8033333,0.066516625
445.9706667,0.066524116
446.133,0.066534283
446.3036667,0.066546055
446.471,0.066564249
446.639,0.066581907
446.8083333,0.06659903
446.9753333,0.066615083
447.1463333,0.066630066
447.3143333,0.066643443
447.4796667,0.066654145
447.651,0.066663242
447.8123333,0.066670733
447.9886667,0.0666809
448.1566667,0.066695883
448.3173333,0.066709796
448.4886667,0.066722103
448.654,0.066736551
448.8233333,0.066748858
448.9873333,0.066763841
449.1533333,0.066782569
449.3206667,0.066796482
449.491,0.066814675
449.6536667,0.066834474
449.8306667,0.066855343
449.9893333,0.066884238
450.163,0.066902967
450.3283333,0.066915274
450.497,0.066926511
450.669,0.066935073
450.835,0.066950055
450.9966667,0.066965038
451.1696667,0.066981091
451.3376667,0.066998749
451.507,0.067012662
451.6766667,0.067024969
451.8416667,0.067035136
452.0083333,0.067044768
452.1786667,0.067060286
452.3483333,0.067076339
452.5153333,0.067092927
452.6836667,0.067116471
452.852,0.06713627
453.0213333,0.067156069
453.186,0.067179078
453.3536667,0.067208509
453.5206667,0.067234193
453.6933333,0.067256667
453.8623333,0.067276466
454.0313333,0.06729573
454.197,0.067312853
454.362,0.067328371
454.5326667,0.067342819
454.7023333,0.067346029
454.868,0.067356196
455.0383333,0.067371714
455.202,0.067390977
455.3676667,0.067414522
455.5333333,0.067436461
455.7023333,0.06745626
455.874,0.067475523
456.043,0.067496392
456.209,0.067515656
456.3796667,0.067534919
456.548,0.067555253
456.715,0.067569701
456.8773333,0.067584684
457.0473333,0.067598596
457.2186667,0.067612509
457.385,0.067626421
457.553,0.067643544
457.726,0.067661203
457.891,0.067679396
458.0553333,0.067703476
458.221,0.067727555
458.384,0.06775217
458.5513333,0.067777854
458.725,0.06780568
458.8946667,0.067829759
459.0613333,0.067850093
459.23,0.067868821
459.4016667,0.067883269
459.5673333,0.067901998
459.7346667,0.067921261
459.9026667,0.06793999
460.068,0.067959253
460.236,0.067972631
460.4066667,0.067987614
460.5736667,0.068002596
460.7426667,0.068017044
460.9076667,0.068037378
461.078,0.068059317
461.252,0.068080186
461.4193333,0.068101055
461.58,0.068121388
461.7493333,0.068138512
461.9163333,0.06815617
462.087,0.068175433
462.2573333,0.068194162
462.4233333,0.068217171
462.592,0.068238575
462.7626667,0.068259444
462.937,0.068282453
463.099,0.068302252
463.2673333,0.068324191
463.434,0.06834613
463.599,0.068368069
463.7653333,0.068391614
463.9343333,0.068413553
464.108,0.068435492
464.2703333,0.068460642
464.433,0.068482046
464.599,0.068501844
464.77,0.068522713
464.9406667,0.068539836
465.11,0.068560705
465.2726667,0.068583179
465.44,0.068606724
465.6073333,0.068629733
465.7773333,0.068652742
465.9483333,0.068676822
466.116,0.068702507
466.285,0.068729797
466.451,0.068757087
466.6223333,0.068781701
466.792,0.068804175
466.9653333,0.06883093
467.1306667,0.068856615
467.2956667,0.06888337
467.4666667,0.068911195
467.6333333,0.068934205
467.8033333,0.068956679
467.97,0.068979688
468.1373333,0.069003768
468.3053333,0.069026242
468.4763333,0.069048181
468.638,0.06907119
468.808,0.069093664
468.9743333,0.069117744
469.143,0.069141288
469.3136667,0.069166973
469.4766667,0.069194798
469.6456667,0.069224229
469.818,0.069250449
469.9843333,0.069275598
470.1516667,0.069300213
470.32,0.069326968
470.4886667,0.069353723
470.654,0.069380478
470.8213333,0.069408303
470.9976667,0.069439339
471.162,0.069465559
471.331,0.069493919
471.5063333,0.06952442
471.6673333,0.069553315
471.8346667,0.069589167
472.004,0.069622878
472.1753333,0.069655519
472.3426667,0.06968709
472.509,0.069719731
472.673,0.069753442
472.845,0.069783943
473.0146667,0.069811233
473.1803333,0.069835312
473.351,0.069860997
473.5223333,0.069886682
473.6846667,0.069911297
473.8576667,0.06993163
474.02,0.069957315
474.1893333,0.069985675
474.3543333,0.070012965
474.5276667,0.070043466
474.695,0.070071291
474.859,0.070101792
475.028,0.070134433
475.197,0.070170285
475.3643333,0.070208277
475.539,0.070248944
475.7033333,0.070289612
475.8746667,0.070331885
476.046,0.070367201
476.2076667,0.070398237
476.3793333,0.070426597
476.5486667,0.070451747
476.7163333,0.070482248
476.885,0.070512213
477.054,0.070540574
477.2283333,0.07057589
477.394,0.070611207
477.5553333,0.070645988
477.7276667,0.07068077
477.8966667,0.070716621
478.0606667,0.070750333
478.231,0.070785114
478.399,0.070822036
478.5663333,0.070856818
478.7356667,0.070890529
478.904,0.07092531
479.0686667,0.070961162
479.2386667,0.070999154
